osm_id,other_tags
1978352540,"""bench""=>""no"",""bin""=>""no"",""bus""=>""yes"",""comment""=>""ост. маршрута 377 \""Хоругвино (Городок) - Зеленоград (ст. Крюково)\"" - ГУП МО \""Мострансавто\"""",""public_transport""=>""platform"",""shelter""=>""no"""
8859384582,"""addr:city""=>""Зеленоград"",""addr:housenumber""=>""7"",""addr:street""=>""проспект Генерала Алексеева"",""amenity""=>""car_wash"",""automated""=>""no"",""opening_hours""=>""Mo-Su 09:00-20:00"",""phone""=>""+7 (919) 969-66-07"",""self_service""=>""no"""
4141642689,"""addr:city""=>""Зеленоград"",""addr:housenumber""=>""к402"",""addr:region""=>""Москва"",""email""=>""79268555851@mail.ru"",""is_in:neighbourhood""=>""4-й микрорайон"",""office""=>""lawyer"",""opening_hours""=>""Mo-Fr 09:00-18:00"",""phone""=>""+7 926 8555851"""
2343318345,"""bench""=>""no"",""bin""=>""no"",""bus""=>""yes"",""comment""=>""ост. маршрута 903 \""г. Зеленоград (ст. Крюково) - платф. Фирсановка\"" - ОАО \""ГРУППА-АВТОЛАЙН\"""",""public_transport""=>""platform"",""shelter""=>""no"""
5408051474,"""comment""=>""ИНН 7721793895;ООО \""Комус\"""",""contact:email""=>""panfilovskiy@komus.net"",""contact:phone""=>""+7 495 2582588;+7 495 9951257"",""contact:website""=>""https://www.komus.ru/"",""level""=>""1"",""opening_hours""=>""Mo-Su 10:00-22:00"",""shop""=>""stationery"""
6734434011,"""opening_hours""=>""Mo-Sa 09:00-21:00; Su 10:00-18:00"",""operator""=>""ИП Давыдова О.В."",""operator:ref:inn""=>""773565032054"",""payment:cash""=>""yes"",""payment:credit_cards""=>""no"",""payment:debit_cards""=>""no"",""phone""=>""+7 499 7297790"",""shop""=>""hairdresser"""
1012673237,"""addr:city""=>""Зеленоград"",""addr:housenumber""=>""2"",""addr:street""=>""Яблоневая аллея"",""amenity""=>""bar"",""comment""=>""\""с 18:00 до последнего гостя\"""",""opening_hours""=>""18:00+ \""till last guest\"""",""phone""=>""+7 499 2724199"""
1775322352,"""addr:city""=>""Зеленоград"",""addr:housenumber""=>""к360"",""addr:postcode""=>""124483"",""comment""=>""ООО \""Копейка-Москва\"""",""is_in:neighbourhood""=>""3-й микрорайон"",""level""=>""0"",""opening_hours""=>""09:00-23:00"",""shop""=>""supermarket"""
7056619723,"""comment""=>""ИП Соколовская Е.С., ИНН 773574067409; закрыт ~в конце 2020"",""description""=>""Магазин здорового питания & кафе"",""opening_hours""=>""10:00-21:00"",""was:amenity""=>""cafe"",""was:shop""=>""convenience"""
850684778,"""access""=>""customers"",""addr:city""=>""Зеленоград"",""addr:country""=>""RU"",""addr:region""=>""Москва"",""addr:street""=>""площадь Колумба"",""amenity""=>""parking"",""comment""=>""Стоянка дворца творчества"",""parking""=>""surface"""
6812176062,"""contact:email""=>""info@ligastavok.ru"",""contact:phone""=>""+7 800 5554455"",""contact:website""=>""https://www.ligastavok.ru/"",""opening_hours""=>""24/7"",""operator""=>""Первая международная букмекерская компания"",""shop""=>""bookmaker"""
2326044979,"""comment""=>""УСЗН, ПФР, УФМС, УФНС. Ведомства имеют разный график работы. Количество окон приёма - 22"",""office""=>""government"",""official_name""=>""Межрайонный многофункциональный центр предоставления государственных услуг Матушкино и Савёлки"",""opening_hours""=>""Mo-Fr 08:00-20:00; Sa 09:00-16:00"",""phone""=>""+7 499 9401555"",""website""=>""https://pgu.mos.ru/ru/mfc/1010/"""
8856497817,"""contact:facebook""=>""https://www.facebook.com/leonardogroup/"",""contact:instagram""=>""https://www.instagram.com/leonardo.hobby/"",""contact:ok""=>""https://ok.ru/group/54798059307028"",""contact:phone""=>""+7 800 7005127;+7 495 9895966"",""contact:tiktok""=>""https://www.tiktok.com/@leonardo.hobby?"",""contact:twitter""=>""https://twitter.com/Leonardohobby"",""contact:vk""=>""https://vk.com/leonardogroup"",""contact:website""=>""https://leonardo.ru"",""contact:youtube""=>""https://www.youtube.com/user/leonardohobby"",""level""=>""2"",""opening_hours""=>""Mo-Su 10:00-22:00"",""opening_hours:url""=>""https://leonardo.ru/shop/msk28/"",""operator""=>""АО «Планета увлечений»"",""operator:ref:inn""=>""7705814643"",""operator:ref:kpp""=>""771901001"",""operator:ref:ogrn""=>""1077761771537"",""shop""=>""craft"""
2193022358,"""addr:city""=>""Зеленоград"",""addr:housenumber""=>""к435"",""amenity""=>""cafe"",""cuisine""=>""american"",""is_in:neighbourhood""=>""4-й микрорайон"",""level""=>""0"",""opening_hours""=>""24/7"",""operator""=>""MORE Project"",""phone""=>""+7 925 8566139"",""smoking""=>""no"""
5407986823,"""comment""=>""ООО \""Афина\""; ИНН 7751044741"",""description""=>""не очень стандартная домашняя утварь, одежда и т.п."",""opening_hours""=>""Mo-Sa 11:00-19:00; Su 11:00-18:00"",""phone""=>""+7 499 7347331"",""shop""=>""general"""
4031886925,"""brand""=>""МТС"",""brand:wikidata""=>""Q1368919"",""brand:wikipedia""=>""ru:МТС (компания)"",""comment""=>""АО \""РТК\""; ИНН 7709356049"",""contact:facebook""=>""https://www.facebook.com/mts"",""contact:ok""=>""https://ok.ru/mts"",""contact:phone""=>""+7 800 2500890"",""contact:twitter""=>""https://twitter.com/ru_mts"",""contact:vk""=>""https://vk.com/mts"",""contact:website""=>""https://shop.mts.ru"",""level""=>""0"",""name:en""=>""MTS"",""name:ru""=>""МТС"",""office""=>""telecommunication"",""phone""=>""+7 800 2500890"",""shop""=>""mobile_phone"""
6160956986,"""amenity""=>""restaurant"",""email""=>""restoran-amsterdam@mail.ru"",""name:en""=>""Chilli"",""name:ru""=>""Чили"",""opening_hours""=>""Su-Th 12:00-24:00; Fr-Sa 12:00-03:00"",""phone""=>""+7 499 7624341;+7 499 7624430"",""website""=>""http://ресторан-амстердам.рф/"""
7503238365,"""addr:city""=>""Зеленоград"",""addr:housenumber""=>""к330"",""amenity""=>""clinic"",""is_in:neighbourhood""=>""3-й микрорайон"",""opening_hours""=>""Mo-Fr 08:00-20:00; Sa 09:00-20:00; Su 09:00-18:00"",""phone""=>""+7 499 7368503"",""website""=>""https://nikormed.ru/"""
8767186316,"""contact:phone""=>""+7 916 3227444"",""opening_hours""=>""Mo-Fr 09:00-20:00; Sa-Su 09:00-18:00"",""operator""=>""ИП Данилова Наталья Станиславовна"",""operator:ref:inn""=>""121302784550"",""operator:ref:ogrn""=>""317121500018332"",""shop""=>""hairdresser"""
3007590562,"""addr:city""=>""Зеленоград"",""addr:housenumber""=>""1"",""addr:street""=>""Крюковская площадь"",""level""=>""0"",""opening_hours""=>""10:00-22:00"",""phone""=>""+7 495 2761064"",""shop""=>""shoes"",""website""=>""https://www.chestershoes.ru/shops/russia/zelenograd/"""
8039232585,"""addr:housenumber""=>""1508"",""addr:postcode""=>""124365"",""is_in:neighbourhood""=>""15-й микрорайон"",""name:en""=>""Vkusi Par Vape Shop"",""opening_hours""=>""Mo-Su 10:00-21:00"",""phone""=>""+7 926 0793851"",""shop""=>""e-cigarette"",""website""=>""http://вкусипар.рф"""
3007590572,"""addr:city""=>""Зеленоград"",""addr:housenumber""=>""1"",""addr:street""=>""Крюковская площадь"",""brand""=>""Линзмастер"",""brand:wikidata""=>""Q16671388"",""brand:wikipedia""=>""ru:Линзмастер"",""contact:email""=>""client@lensmaster.ru"",""contact:facebook""=>""https://www.facebook.com/lensmaster"",""contact:instagram""=>""https://www.instagram.com/lensmaster.ru"",""contact:vk""=>""https://vk.com/lensmaster"",""contact:website""=>""https://www.lensmaster.ru"",""contact:youtube""=>""https://www.youtube.com/user/LensmasterOnline"",""level""=>""0"",""name:ru""=>""Линзмастер"",""opening_hours""=>""10:00-22:00"",""operator:ref:inn""=>""7707245632"",""operator:ref:kpp""=>""772201001"",""operator:ref:ogrn""=>""1027739829281"",""phone""=>""+7 495 6663316;+7 800 7707567"",""shop""=>""optician"""
6774791717,"""addr:city""=>""Зеленоград"",""addr:housenumber""=>""124365"",""addr:postcode""=>""124365"",""addr:street""=>""Заводская улица"",""description""=>""Шары, подарки, упаковка"",""email""=>""info@izballoon.ru"",""opening_hours""=>""Mo-Su 10:00-20:00"",""payment:cash""=>""yes"",""payment:credit_cards""=>""yes"",""payment:debit_cards""=>""yes"",""payment:maestro""=>""yes"",""payment:mastercard""=>""yes"",""payment:visa""=>""yes"",""payment:visa_debit""=>""yes"",""phone""=>""+7 926 0203013"",""shop""=>""gift"",""website""=>""http://izballoon.ru"""
