,bench,bin,bus,comment,public_transport,shelter,addr_city,addr_housenumber,addr_street,amenity,automated,opening_hours,phone,self_service,addr_region,email,is_in_neighbourhood,office,contact_email,contact_phone,contact_website,level,shop,operator,operator_ref_inn,payment_cash,payment_credit_cards,payment_debit_cards,addr_postcode,description,was_amenity,was_shop,access,addr_country,parking,official_name,website,contact_facebook,contact_instagram,contact_ok,contact_tiktok,contact_twitter,contact_vk,contact_youtube,opening_hours_url,operator_ref_kpp,operator_ref_ogrn,cuisine,smoking,brand,brand_wikidata,brand_wikipedia,name_en,name_ru,payment_maestro,payment_mastercard,payment_visa,payment_visa_debit,leisure,foot,ford,contact_telegram,contact_zenyandex,wheelchair,noexit,power,car_service,alt_name,healthcare,atm,branch,brand_en,short_name,brand_ru,delivery,diet_vegetarian,takeaway,building,entrance
1978352540,no,no,yes,ост. маршрута 377 \Хоругвино (Городок) - Зеленоград (ст. Крюково)\ - ГУП МО \Мострансавто\,platform,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8859384582,,,,,,,Зеленоград,7,проспект Генерала Алексеева,car_wash,no,Mo-Su 09:00-20:00,+7 (919) 969-66-07,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4141642689,,,,,,,Зеленоград,к402,,,,Mo-Fr 09:00-18:00,+7 926 8555851,,Москва,79268555851@mail.ru,4-й микрорайон,lawyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2343318345,no,no,yes,ост. маршрута 903 \г. Зеленоград (ст. Крюково) - платф. Фирсановка\ - ОАО \ГРУППА-АВТОЛАЙН\,platform,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5408051474,,,,ИНН 7721793895;ООО \Комус\,,,,,,,,Mo-Su 10:00-22:00,,,,,,,panfilovskiy@komus.net,+7 495 2582588;+7 495 9951257,https://www.komus.ru/,1,stationery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6734434011,,,,,,,,,,,,Mo-Sa 09:00-21:00; Su 10:00-18:00,+7 499 7297790,,,,,,,,,,hairdresser,ИП Давыдова О.В.,773565032054,yes,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012673237,,,,\с 18:00 до последнего гостя\,,,Зеленоград,2,Яблоневая аллея,bar,,18:00+ \till last guest\,+7 499 2724199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1775322352,,,,ООО \Копейка-Москва\,,,Зеленоград,к360,,,,09:00-23:00,,,,,3-й микрорайон,,,,,0,supermarket,,,,,,124483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7056619723,,,,"ИП Соколовская Е.С., ИНН 773574067409; закрыт ~в конце 2020",,,,,,,,10:00-21:00,,,,,,,,,,,,,,,,,,Магазин здорового питания & кафе,cafe,convenience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850684778,,,,Стоянка дворца творчества,,,Зеленоград,,площадь Колумба,parking,,,,,Москва,,,,,,,,,,,,,,,,,,customers,RU,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6812176062,,,,,,,,,,,,24/7,,,,,,,info@ligastavok.ru,+7 800 5554455,https://www.ligastavok.ru/,,bookmaker,Первая международная букмекерская компания,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2326044979,,,,"УСЗН, ПФР, УФМС, УФНС. Ведомства имеют разный график работы. Количество окон приёма - 22",,,,,,,,Mo-Fr 08:00-20:00; Sa 09:00-16:00,+7 499 9401555,,,,,government,,,,,,,,,,,,,,,,,,Межрайонный многофункциональный центр предоставления государственных услуг Матушкино и Савёлки,https://pgu.mos.ru/ru/mfc/1010/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8856497817,,,,,,,,,,,,Mo-Su 10:00-22:00,,,,,,,,+7 800 7005127;+7 495 9895966,https://leonardo.ru,2,craft,АО «Планета увлечений»,7705814643,,,,,,,,,,,,,https://www.facebook.com/leonardogroup/,https://www.instagram.com/leonardo.hobby/,https://ok.ru/group/54798059307028,https://www.tiktok.com/@leonardo.hobby?,https://twitter.com/Leonardohobby,https://vk.com/leonardogroup,https://www.youtube.com/user/leonardohobby,https://leonardo.ru/shop/msk28/,771901001,1077761771537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2193022358,,,,,,,Зеленоград,к435,,cafe,,24/7,+7 925 8566139,,,,4-й микрорайон,,,,,0,,MORE Project,,,,,,,,,,,,,,,,,,,,,,,,american,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5407986823,,,,ООО \Афина\; ИНН 7751044741,,,,,,,,Mo-Sa 11:00-19:00; Su 11:00-18:00,+7 499 7347331,,,,,,,,,,general,,,,,,,"не очень стандартная домашняя утварь, одежда и т.п.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4031886925,,,,АО \РТК\; ИНН 7709356049,,,,,,,,,+7 800 2500890,,,,,telecommunication,,+7 800 2500890,https://shop.mts.ru,0,mobile_phone,,,,,,,,,,,,,,,https://www.facebook.com/mts,,https://ok.ru/mts,,https://twitter.com/ru_mts,https://vk.com/mts,,,,,,,МТС,Q1368919,ru:МТС (компания),MTS,МТС,,,,,,,,,,,,,,,,,,,,,,,,,
6160956986,,,,,,,,,,restaurant,,Su-Th 12:00-24:00; Fr-Sa 12:00-03:00,+7 499 7624341;+7 499 7624430,,,restoran-amsterdam@mail.ru,,,,,,,,,,,,,,,,,,,,,http://ресторан-амстердам.рф/,,,,,,,,,,,,,,,,Chilli,Чили,,,,,,,,,,,,,,,,,,,,,,,,,
7503238365,,,,,,,Зеленоград,к330,,clinic,,Mo-Fr 08:00-20:00; Sa 09:00-20:00; Su 09:00-18:00,+7 499 7368503,,,,3-й микрорайон,,,,,,,,,,,,,,,,,,,,https://nikormed.ru/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8767186316,,,,,,,,,,,,Mo-Fr 09:00-20:00; Sa-Su 09:00-18:00,,,,,,,,+7 916 3227444,,,hairdresser,ИП Данилова Наталья Станиславовна,121302784550,,,,,,,,,,,,,,,,,,,,,,317121500018332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3007590562,,,,,,,Зеленоград,1,Крюковская площадь,,,10:00-22:00,+7 495 2761064,,,,,,,,,0,shoes,,,,,,,,,,,,,,https://www.chestershoes.ru/shops/russia/zelenograd/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8039232585,,,,,,,,1508,,,,Mo-Su 10:00-21:00,+7 926 0793851,,,,15-й микрорайон,,,,,,e-cigarette,,,,,,124365,,,,,,,,http://вкусипар.рф,,,,,,,,,,,,,,,,Vkusi Par Vape Shop,,,,,,,,,,,,,,,,,,,,,,,,,,
3007590572,,,,,,,Зеленоград,1,Крюковская площадь,,,10:00-22:00,+7 495 6663316;+7 800 7707567,,,,,,client@lensmaster.ru,,https://www.lensmaster.ru,0,optician,,7707245632,,,,,,,,,,,,,https://www.facebook.com/lensmaster,https://www.instagram.com/lensmaster.ru,,,,https://vk.com/lensmaster,https://www.youtube.com/user/LensmasterOnline,,772201001,1027739829281,,,Линзмастер,Q16671388,ru:Линзмастер,,Линзмастер,,,,,,,,,,,,,,,,,,,,,,,,,
6774791717,,,,,,,Зеленоград,124365,Заводская улица,,,Mo-Su 10:00-20:00,+7 926 0203013,,,info@izballoon.ru,,,,,,,gift,,,yes,yes,yes,124365,"Шары, подарки, упаковка",,,,,,,http://izballoon.ru,,,,,,,,,,,,,,,,,,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,
4330530192,,,,,,,,,,,,Mo-Fr 06:30-24:00; Sa-Su 8:30-22:00,,,,,,,,+7 495 6041144,https://msk.alexfitness.ru/zelenograd/,,,,,,,,,,,,,,,,,https://www.facebook.com/alexfitness.official/,https://www.instagram.com/alexfitness_official/,,,,https://vk.com/alexfitness,https://www.youtube.com/channel/UC3LRkTbG7_MB6rFNJOMqpmQ,https://msk.alexfitness.ru/zelenograd/,,,,,Alex Fitness,,,,,,,,,fitness_centre,,,,,,,,,,,,,,,,,,,,
4031886929,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2343318347,no,yes,yes,ост. маршрута 431м - \ст.м. \Речной вокзал\ - г. Зеленоград (ст. Крюково)\ - ОАО \Группа-Автолайн\,platform,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844409862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,
593348855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,
2310082609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,
1800942743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,
669515030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,
4157620888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,
504894192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,
